971	Florianopolis	28
972	Fonte Boa	28
973	Formiga	28
974	Formosa	28
975	Fortaleza	28
976	Foz do Iguacu	28
977	Franca	28
978	Frutal	28
979	Garanhuns	28
980	Garca	28
981	Goiana	28
982	Goianesia	28
983	Goiania	28
984	Governador Valadares	28
985	Grajau	28
986	Granja	28
987	Guaira	28
988	Guajara-Miram	28
989	Guanambi	28
990	Guanhaes	28
991	Guarapuava	28
992	Guaratingueta	28
993	Guaxupe	28
994	Gurupi	28
995	Ico	28
996	Iguape	28
997	Iguatu	28
998	Ijui	28
999	Ilheus	28
1000	Imbituba	28
1001	Imperatriz	28
1002	Inhumas	28
1003	Ipatinga	28
1004	Ipora	28
1005	Ipu	28
1006	Irati	28
1007	Irece	28
1008	Itaberaba	28
1009	Itaberai	28
1010	Itabuna	28
1011	Itacoatiara	28
1012	Itaituba	28
1013	Itajai	28
1014	Itamaraju	28
1015	Itambe	28
1016	Itanhaem	28
1017	Itapecuru Mirim	28
1018	Itapetinga	28
1019	Itapetininga	28
1020	Itapeva	28
1021	Itapipoca	28
1022	Itauna	28
1023	Itu	28
1024	Ituiutaba	28
1025	Itumbiara	28
1026	Itupiranga	28
1027	Iturama	28
1028	Jaboatao	28
1029	Jaboticabal	28
1030	Jacareacanga	28
1031	Jacarezinho	28
1032	Jaguaquara	28
1033	Jaguarao	28
1034	Janauba	28
1035	Januaria	28
1036	Jaragua do Sul	28
1037	Jardim	28
1038	Jatai	28
1039	Jau	28
1040	Jequie	28
1041	Ji-Parana	28
1042	Joacaba	28
1043	Joao Pessoa	28
1044	Joinville	28
1045	Juazeiro	28
1046	Juazeiro do Norte	28
1047	Juiz de Fora	28
1048	Jundiai	28
1049	Laguna	28
1050	Lajes	28
1051	Lapa	28
1052	Lavras	28
1053	Leopoldina	28
1054	Limeira	28
1055	Linhares	28
1056	Londrina	28
1057	Macae	28
1058	Macapa	28
1059	Maceio	28
1060	Manacapuru	28
1061	Manaus	28
1062	Manicore	28
1063	Maraba	28
1064	Maracaju	28
1065	Marilia	28
1066	Maringa	28
1067	Mato Grosso	28
1068	Maues	28
1069	Mineiros	28
1070	Miracema	28
1071	Montes Claros	28
1072	Morrinhos	28
1073	Mossoro	28
1074	Muriae	28
1075	Nanuque	28
1076	Natal	28
1077	Natal	28
1078	Niquelandia	28
1079	Niteroi	28
1080	Nova Cruz	28
1081	Nova Friburgo	28
1082	Nova Iguacu	28
1083	Nova Lima	28
1084	Nova Vicosa	28
1085	Novo Airao	28
1086	Novo Hamburgo	28
1087	Novo Horizonte	28
1088	Obidos	28
1089	Olinda	28
1090	Oriximina	28
1091	Osorio	28
1092	Ourinhos	28
1093	Palmas	28
1094	Palmas	28
1095	Palmeira dos Indios	28
1096	Paracatu	28
1097	Paracuru	28
1098	Paragominas	28
1099	Paranagua	28
1100	Paranaiba	28
1101	Parintins	28
1102	Parnaiba	28
1103	Passo Fundo	28
1104	Passos	28
1105	Patos	28
1106	Paulo Afonso	28
1107	Pedreiras	28
1108	Pelotas	28
1109	Penapolis	28
1110	Penedo	28
1111	Petrolina	28
1112	Petropolis	28
1113	Picos	28
1114	Pimenta Bueno	28
1115	Pindamonhangaba	28
1116	Pinheiro	28
1117	Piracicaba	28
1118	Pirapora	28
1119	Pirassununga	28
1120	Pires do Rio	28
1121	Piripiri	28
1122	Pocos de Caldas	28
1123	Ponta Grossa	28
1124	Ponta Pora	28
1125	Ponte Nova	28
1126	Pontes e Lacerda	28
1127	Portel	28
1128	Porto Alegre	28
1129	Porto Nacional	28
1130	Porto Santana	28
1131	Porto Seguro	28
1132	Porto Uniao	28
1133	Porto Velho	28
1134	Pouso Alegre	28
1135	Presidente Dutra	28
1136	Presidente Prudente	28
1137	Principe da Beira	28
1138	Quarai	28
1139	Quixada	28
1140	Recife	28
1141	Registro	28
1142	Remanso	28
1143	Ribeirao Preto	28
1144	Rio Branco	28
1145	Rio Claro	28
1146	Rio de Janeiro	28
1147	Rio Grande	28
1148	Rio Largo	28
1149	Rio Negro	28
1150	Rio Verde	28
1151	Rolim de Moura	28
1152	Rondonopolis	28
1153	Rosario	28
1154	Rosario do Sul	28
1155	Russas	28
1156	Salgueiro	28
1157	Salinopolis	28
1158	Salvador	28
1159	Santa Cruz	28
1160	Santa Cruz Cabralia	28
1161	Santa Cruz do Sul	28
1162	Santa Ines	28
1163	Santa Maria	28
1164	Santa Maria da Vitoria	28
1165	Santa Rosa	28
1166	Santa Vitoria do Palmar	28
1167	Santana do Livramento	28
1168	Santarem	28
1169	Santo Andre	28
1170	Santo Angelo	28
1171	Santos	28
1172	Sao Borja	28
1173	Sao Cabriel da Cachoeira	28
1174	Sao Carlos	28
1175	Sao Francisco do Sul	28
1176	Sao Gabriel	28
1177	Sao Joao da Boa Vista	28
1178	Sao Joao del Rei	28
1179	Sao Jose de Ribamar	28
1180	Sao Jose do Rio Preto	28
1181	Sao Jose dos Campos	28
